theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
AI Infrastructure,NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,pure_play,1.0,36.375,very_high,sustained_narrative,-0.531536435145829,8,300,0.02666666666666667,6,3,True,198.4499969482422,-4.715036790114102,12.916072232285746,3.8354701690621162,2.9334650723822797,11.831647789272704,-8.383732796703347,neutral,95.0,100.0,100.0,87.5,100.0,30.0,30.0,75.0,30.0,40.0,95.75,90.0,53.0,23.5,69.35000000000001,Tier 1: Direct Beneficiary
AI Infrastructure,AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,36.375,very_high,sustained_narrative,-0.531536435145829,5,150,0.03333333333333333,5,1,True,421.2799987792969,-0.35008301450949464,34.38387569068304,27.426420708051168,24.401268530779575,-19.112434031949356,-0.35008301450949464,extended,100.0,95.0,95.0,87.5,72.5,75.0,75.0,40.0,75.0,70.0,95.25,89.0,67.5,81.25,60.974999999999994,Watch Only
AI Infrastructure,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,36.375,very_high,sustained_narrative,-0.531536435145829,4,272,0.014705882352941176,3,2,True,360.5400085449219,3.660047461454452,71.51419867260662,52.300095066904895,61.53159151270316,11.195520061189,0.0,overheated,85.0,87.5,90.0,87.5,92.5,100.0,100.0,70.0,100.0,90.0,87.125,88.0,92.5,97.5,60.474999999999994,Watch Only: Price Extended
AI Infrastructure,MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,36.375,very_high,sustained_narrative,-0.531536435145829,3,194,0.015463917525773196,1,2,True,542.2100219726562,9.158081140312468,47.39975886260404,30.745711317154022,37.41715170270057,-12.096886652116757,0.0,overheated,90.0,77.5,77.5,57.49999999999999,92.5,90.0,90.0,45.0,90.0,90.0,77.875,61.5,81.5,93.0,48.300000000000004,Watch Only: Price Extended
AI Infrastructure,ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,36.375,very_high,sustained_narrative,-0.531536435145829,3,215,0.013953488372093023,1,1,True,171.8300018310547,-0.8367941819349967,18.72900756557927,4.769800086059517,8.746400405675804,-20.133444839844962,-47.25247089273278,confirming,80.0,77.5,77.5,27.500000000000004,72.5,40.0,40.0,35.0,40.0,15.0,68.375,37.5,45.5,21.75,43.75,Watch Only
AI Infrastructure,GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,36.375,very_high,sustained_narrative,-0.531536435145829,4,300,0.013333333333333334,2,1,True,385.69000244140625,11.98896901180908,29.691645127141687,14.18979375562952,19.70903796723822,50.37554623761573,0.0,extended,75.0,87.5,85.0,27.500000000000004,72.5,65.0,65.0,95.0,65.0,90.0,70.625,39.0,72.5,81.75,39.775,Watch Only
AI Infrastructure,ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,pure_play,1.0,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,211.17999267578125,-10.063457743921633,36.18364783735923,100.43659021679328,26.201040677455765,10.330436361377737,-10.063457743921633,overheated,30.0,30.0,37.5,87.5,30.0,80.0,80.0,65.0,80.0,35.0,43.0,77.5,67.0,74.75,38.375,Watch Only: Price Extended
AI Infrastructure,ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,pure_play,1.0,36.375,very_high,sustained_narrative,-0.531536435145829,0,30,0.0,0,0,True,1427.02001953125,-1.8908556721138225,5.175684805148983,0.6340987052196878,-4.806922354754483,-30.63042562818934,-6.313297829541408,neutral,30.0,30.0,37.5,87.5,30.0,20.0,20.0,15.0,20.0,45.0,43.0,77.5,21.0,20.25,37.775000000000006,Watch Only
AI Infrastructure,MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,36.375,very_high,sustained_narrative,-0.531536435145829,1,300,0.0033333333333333335,0,1,True,414.44000244140625,-2.3974360116912896,12.201859360536238,-3.463723892731363,2.2192522006327717,19.792836403434833,-23.227007708861226,neutral,62.5,62.5,37.5,27.500000000000004,72.5,25.0,25.0,80.0,25.0,25.0,50.5,29.500000000000004,45.5,17.5,35.45,Watch Only
AI Infrastructure,META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,36.375,very_high,sustained_narrative,-0.531536435145829,1,300,0.0033333333333333335,0,1,True,608.75,-9.8188267810713,5.096424654566478,-14.965640142367342,-4.886182505336988,41.20871011256932,-22.762065271574848,neutral,62.5,62.5,37.5,27.500000000000004,72.5,15.0,15.0,90.0,15.0,30.0,50.5,29.500000000000004,41.5,14.25,35.1,Watch Only
AI Infrastructure,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,pure_play,1.0,36.375,very_high,sustained_narrative,-0.531536435145829,0,23,0.0,0,0,True,397.6700134277344,-1.1901749562796993,16.45144068638771,20.64090298308898,6.468833526484243,-7.502729952652043,-1.8050267569478917,extended,30.0,30.0,37.5,87.5,30.0,35.0,35.0,50.0,35.0,60.0,43.0,77.5,37.0,60.75,33.675000000000004,Watch Only
