theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
AI Infrastructure,NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,14,170,0.08235294117647059,13,3,True,197.25,-7.468217059479498,11.039180746301147,9.382658259916422,1.2930630270799224,-13.323614139915163,-8.93772243008173,neutral,95.0,100.0,100.0,87.5,95.0,30.0,30.0,60.0,30.0,40.0,95.75,90.0,49.0,23.5,68.35000000000001,Tier 1: Direct Beneficiary
AI Infrastructure,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,4,159,0.025157232704402517,2,3,True,354.3070068359375,9.621303859098497,60.91698547636004,46.341334906753495,51.170867757138815,-8.390992658362418,-1.7287961283796838,overheated,80.0,90.0,87.5,87.5,95.0,95.0,95.0,75.0,95.0,60.0,85.5,87.5,91.0,87.75,61.275000000000006,Watch Only: Price Extended
AI Infrastructure,AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,4,45,0.08888888888888889,3,1,True,428.2300109863281,7.103025127638718,36.19248193917992,33.9644568766349,26.446364219958696,-36.504910361507015,0.0,overheated,100.0,90.0,95.0,87.5,70.0,75.0,75.0,20.0,75.0,85.0,94.0,89.0,63.0,85.0,58.599999999999994,Watch Only: Price Extended
AI Infrastructure,MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,3,85,0.03529411764705882,2,3,True,639.1900024414062,26.75047921050919,69.20531181635165,52.45529714110897,59.45919409713043,-11.618543488574796,0.0,overheated,90.0,77.5,87.5,57.49999999999999,95.0,100.0,100.0,70.0,100.0,85.0,79.875,63.5,93.0,96.25,51.825,Watch Only: Price Extended
AI Infrastructure,ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,20,0.0,0,0,True,1438.3773193359375,3.8869574785255434,10.545091324200918,3.405763022464847,0.7989736049796932,-37.67862103464975,-5.5676685113123074,neutral,30.0,30.0,40.0,87.5,30.0,25.0,25.0,15.0,25.0,45.0,43.5,78.0,24.0,22.5,38.400000000000006,Watch Only
AI Infrastructure,META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,2,307,0.006514657980456026,0,2,True,604.0700073242188,-10.020260499934764,5.41865671959747,-12.59401341573938,-4.327460999623755,53.910121970906054,-23.355860702903808,neutral,70.0,70.0,40.0,27.500000000000004,85.0,15.0,15.0,100.0,15.0,30.0,55.5,30.000000000000004,46.0,14.25,38.35,Watch Only
AI Infrastructure,ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,3,126,0.023809523809523808,0,1,True,182.64999389648438,10.056632024239743,25.93646316767584,18.502562177426118,16.190345448454615,-29.19747598406498,-43.930997675671534,confirming,75.0,77.5,40.0,27.500000000000004,70.0,45.0,45.0,30.0,45.0,15.0,59.125,30.000000000000004,47.0,24.0,38.10000000000001,Watch Only
AI Infrastructure,ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,207.1199951171875,4.263781264003863,39.22160998117805,98.10615884406249,29.475492261956823,-33.81718815625473,-11.79251425804243,overheated,30.0,30.0,40.0,87.5,30.0,85.0,85.0,25.0,85.0,35.0,43.5,78.0,62.0,77.0,37.00000000000001,Watch Only: Price Extended
AI Infrastructure,MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,1,162,0.006172839506172839,0,1,True,410.739990234375,-4.312174668753643,10.153396496403989,0.11368772205331279,0.4072787771827642,9.184290687621077,-23.91241695259776,neutral,65.0,62.5,40.0,27.500000000000004,70.0,20.0,20.0,80.0,20.0,25.0,51.875,30.000000000000004,42.0,15.25,35.7,Watch Only
AI Infrastructure,GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,4,122,0.03278688524590164,0,1,True,384.840087890625,10.745349033273378,29.288477845844096,13.035273035197736,19.54236012662287,43.465797735590826,0.0,extended,85.0,90.0,40.0,27.500000000000004,70.0,55.00000000000001,55.00000000000001,95.0,55.00000000000001,85.0,65.75,30.000000000000004,66.0,76.0,35.1,Watch Only
