theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
AI Infrastructure,NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,14,170,0.08235294117647059,13,3,True,197.2406005859375,-7.472626410768724,11.03388947513768,9.377445925841688,1.2908192065757653,-12.966675635289459,-8.942061756075914,neutral,95.0,100.0,100.0,87.5,95.0,25.0,25.0,55.00000000000001,25.0,40.0,95.75,90.0,45.0,21.25,67.80000000000001,Tier 1: Direct Beneficiary
AI Infrastructure,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,4,159,0.025157232704402517,2,3,True,355.1803894042969,9.89152526049375,61.31365301992084,46.70207282181591,51.57058275135893,-7.643621673342082,-1.4865532294891515,overheated,80.0,90.0,87.5,87.5,95.0,95.0,95.0,75.0,95.0,60.0,85.5,87.5,91.0,87.75,61.275000000000006,Watch Only: Price Extended
AI Infrastructure,AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,4,45,0.08888888888888889,3,1,True,427.6000061035156,6.945456935164329,35.992117820779136,33.7673705917171,26.24904755221722,-36.05722639068679,0.0,overheated,100.0,90.0,95.0,87.5,70.0,75.0,75.0,20.0,75.0,85.0,94.0,89.0,63.0,85.0,58.599999999999994,Watch Only: Price Extended
AI Infrastructure,MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,3,85,0.03529411764705882,2,3,True,645.25,27.952168210075,70.80950426709667,53.900686970331925,61.066433998534755,-10.823748253525,0.0,overheated,90.0,77.5,87.5,57.49999999999999,95.0,100.0,100.0,70.0,100.0,85.0,79.875,63.5,93.0,96.25,51.825,Watch Only: Price Extended
AI Infrastructure,ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,20,0.0,0,0,True,1446.0,4.437506414033954,11.13092504030333,3.953761867933192,1.3878547717414147,-36.91996657956776,-5.067224366633017,neutral,30.0,30.0,40.0,87.5,30.0,30.0,30.0,15.0,30.0,45.0,43.5,78.0,27.0,24.75,38.7,Watch Only
AI Infrastructure,ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,3,126,0.023809523809523808,0,1,True,183.0,10.267529884782167,26.17779102005362,18.729644692785218,16.434720751491703,-28.809386229576628,-43.823554512861094,confirming,75.0,77.5,40.0,27.500000000000004,70.0,50.0,50.0,30.0,50.0,15.0,59.125,30.000000000000004,50.0,26.25,38.400000000000006,Watch Only
AI Infrastructure,META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,2,307,0.006514657980456026,0,2,True,602.9450073242188,-10.187835790398147,5.2223285003983655,-12.756795433907865,-4.52074176816355,54.38875251505706,-23.498600212668862,neutral,70.0,70.0,40.0,27.500000000000004,85.0,15.0,15.0,100.0,15.0,30.0,55.5,30.000000000000004,46.0,14.25,38.35,Watch Only
AI Infrastructure,ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,206.8000030517578,4.10269791375899,39.006518191005334,97.80009279328364,29.26344792244342,-33.154313419748526,-11.928791277231031,overheated,30.0,30.0,40.0,87.5,30.0,85.0,85.0,25.0,85.0,35.0,43.5,78.0,62.0,77.0,37.00000000000001,Watch Only: Price Extended
AI Infrastructure,MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,1,162,0.006172839506172839,0,1,True,409.55499267578125,-4.588237000400408,9.835600545139144,-0.17514335929514901,0.09253027657722868,9.585453604831894,-24.13193197985143,neutral,65.0,62.5,40.0,27.500000000000004,70.0,20.0,20.0,80.0,20.0,25.0,51.875,30.000000000000004,42.0,15.25,35.7,Watch Only
AI Infrastructure,GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,4,122,0.03278688524590164,0,1,True,384.7200012207031,10.71079171818794,29.24813427652191,13.000001165271424,19.505064007959994,43.825168481390534,0.0,extended,85.0,90.0,40.0,27.500000000000004,70.0,55.00000000000001,55.00000000000001,95.0,55.00000000000001,85.0,65.75,30.000000000000004,66.0,76.0,35.1,Watch Only
