theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
AI Infrastructure,NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,7,170,0.041176470588235294,9,3,True,197.4600067138672,-7.369700985139271,11.157401144065604,9.499115003212854,1.353641219820224,-12.682142186040279,-8.840770898169337,neutral,95.0,100.0,100.0,87.5,100.0,25.0,25.0,55.00000000000001,25.0,40.0,95.75,90.0,46.0,21.25,68.05000000000001,Tier 1: Direct Beneficiary
AI Infrastructure,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,1,159,0.006289308176100629,1,1,True,354.1099853515625,9.56034612586507,60.827503465764664,46.25995805991596,51.02374354151928,-7.169852092089435,-1.7834423478575556,overheated,85.0,80.0,87.5,87.5,85.0,95.0,95.0,75.0,95.0,60.0,84.75,87.5,89.0,87.75,60.47500000000001,Watch Only: Price Extended
AI Infrastructure,AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,3,45,0.06666666666666667,3,1,True,428.2049865722656,7.0967663639384115,36.18452327917756,33.95662841540488,26.38076335493218,-35.71297167276304,0.0,overheated,100.0,92.5,95.0,87.5,85.0,75.0,75.0,20.0,75.0,85.0,94.625,89.0,66.0,85.0,59.599999999999994,Watch Only: Price Extended
AI Infrastructure,ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,20,0.0,0,0,True,1446.9300537109375,4.504679643910459,11.20240341460046,4.020623957830294,1.398643490355079,-36.614499571601144,-5.00616449092941,neutral,37.5,37.5,42.5,87.5,37.5,30.0,30.0,15.0,30.0,45.0,48.5,78.5,28.5,24.75,41.2,Watch Only
AI Infrastructure,MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,1,162,0.006172839506172839,0,1,True,409.5400085449219,-4.591727770548193,9.831582059121335,-0.1787955885236392,0.02782213487595442,9.93385004240186,-24.134699139442205,neutral,80.0,80.0,42.5,27.500000000000004,85.0,20.0,20.0,80.0,20.0,25.0,62.0,30.500000000000004,45.0,15.25,40.62500000000001,Watch Only
AI Infrastructure,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,1,247,0.004048582995951417,1,1,True,275.25,5.987673108221658,29.352887205498867,15.350769270120601,19.549127281253487,29.109829327800018,0.0,extended,75.0,80.0,87.5,27.500000000000004,85.0,65.0,65.0,85.0,65.0,85.0,69.25,39.5,73.0,80.5,39.725,Watch Only
AI Infrastructure,ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,207.3000030517578,4.354396889526679,39.34260744666218,98.27833285584246,29.5388475224168,-32.83561671011231,-11.715853154834765,overheated,37.5,37.5,42.5,87.5,37.5,85.0,85.0,25.0,85.0,35.0,48.5,78.5,63.5,77.0,39.50000000000001,Watch Only: Price Extended
AI Infrastructure,SMCI,Super Micro Computer Inc. Common Stock,Technology,Computer Manufacturing,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,27.795000076293945,2.000000279977776,26.05442647624896,-6.319514645023904,16.25066655200358,-26.049013943284628,-54.21676742636805,confirming,37.5,37.5,42.5,57.49999999999999,37.5,45.0,45.0,45.0,45.0,5.0,42.5,54.5,43.5,21.5,37.2,Watch Only
AI Infrastructure,GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,3,122,0.02459016393442623,0,1,True,383.7900085449219,10.443167926596232,28.93569973229708,12.72684361403018,19.1319398080517,44.14456028585816,0.0,extended,90.0,92.5,42.5,27.500000000000004,85.0,55.00000000000001,55.00000000000001,95.0,55.00000000000001,85.0,68.625,30.500000000000004,69.0,76.0,37.125,Watch Only
AI Infrastructure,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,7,0.0,0,0,True,397.2049865722656,1.2399934444066174,16.22336587731963,18.637150756972364,6.4196059530742495,-27.034733138573873,-1.9198538701024837,extended,37.5,37.5,42.5,87.5,37.5,35.0,35.0,35.0,35.0,55.00000000000001,48.5,78.5,35.5,59.5,36.00000000000001,Watch Only
AI Infrastructure,ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,174.03500366210938,5.2907076841839595,37.84950785117574,24.854727329193025,28.045747926930357,-11.826757561643442,-2.078991815818265,overheated,37.5,37.5,42.5,57.49999999999999,37.5,80.0,80.0,60.0,80.0,50.0,42.5,54.5,67.5,78.5,31.799999999999997,Watch Only: Price Extended
AI Infrastructure,MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,85,0.0,0,0,True,645.0,27.902593561407784,70.74332468388585,53.841058653024554,60.93956475964046,-10.191436362039541,0.0,overheated,37.5,37.5,42.5,57.49999999999999,37.5,100.0,100.0,70.0,100.0,85.0,42.5,54.5,81.5,96.25,31.75,Watch Only: Price Extended
AI Infrastructure,VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,336.94000244140625,10.461267347411862,30.228418866805097,77.23912718055368,20.424658942559716,-19.487235740287446,0.0,extended,37.5,37.5,42.5,57.49999999999999,37.5,70.0,70.0,50.0,70.0,85.0,42.5,54.5,59.5,82.75,28.95,Watch Only
AI Infrastructure,META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,307,0.0,0,0,True,602.135009765625,-10.308489635870133,5.080972608634515,-12.873998133729591,-4.722787315610865,54.82069028642944,-23.601372349935133,neutral,37.5,37.5,42.5,27.500000000000004,37.5,15.0,15.0,100.0,15.0,30.0,36.5,30.500000000000004,36.5,14.25,28.5,Watch Only
AI Infrastructure,MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,171.5,11.92325574748898,56.685087401720025,127.14568433923037,46.88132747747464,-50.11520245666941,0.0,overheated,37.5,37.5,42.5,57.49999999999999,37.5,90.0,90.0,5.0,90.0,85.0,42.5,54.5,62.5,91.75,27.9,Watch Only: Price Extended
AI Infrastructure,ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,126,0.0,0,0,True,183.22999572753906,10.406114916256403,26.336372183140668,18.87886497153697,16.532612258895288,-28.51463292106563,-43.75295681795145,confirming,37.5,37.5,42.5,27.500000000000004,37.5,50.0,50.0,30.0,50.0,15.0,36.5,30.500000000000004,43.5,26.25,27.85,Watch Only
AI Infrastructure,DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,215.10000610351562,4.452976134550624,24.59035142027741,84.17887287075587,14.786591496032031,-47.54717315885147,-0.45813792917419605,extended,37.5,37.5,42.5,57.49999999999999,37.5,40.0,40.0,10.0,40.0,65.0,42.5,54.5,33.5,64.25,26.15,Watch Only
AI Infrastructure,GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,28,0.0,0,0,True,387.55999755859375,10.801074650107466,29.190976424180825,14.16586043636583,19.387216499935445,39.1221935622398,0.0,extended,37.5,37.5,42.5,27.500000000000004,37.5,60.0,60.0,90.0,60.0,85.0,36.5,30.500000000000004,61.5,78.25,21.950000000000003,Watch Only
AI Infrastructure,PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,sympathetic,0.35,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,136.10000610351562,-3.5982340528461276,-7.997016939082435,-13.795286360336279,-17.800776863327815,-10.896849521751829,-34.30832565164709,lagging,37.5,37.5,42.5,7.5,37.5,5.0,5.0,65.0,5.0,20.0,32.5,14.5,23.5,7.25,21.05,Watch Only
