ticker,name,sector,Price,Trend,Volume,RS_raw,pct_52w,정배열,골든크로스,MACD강세,거래량급증,OBV상승,RS,Total
AAPL,Apple,Technology,1,1,1,-2.02,92.3,False,False,True,False,True,0,3
MSFT,Microsoft,Technology,0,1,1,6.0,76.8,False,False,True,False,True,1,3
NVDA,NVIDIA,Technology,1,1,1,6.29,94.2,False,False,True,False,True,2,5
AVGO,Broadcom,Technology,1,2,1,18.56,97.4,False,True,True,False,True,2,6
META,Meta,Technology,0,1,1,5.01,84.2,False,False,True,False,True,1,3
ORCL,Oracle,Technology,0,1,1,15.81,52.8,False,False,True,False,True,2,4
GOOGL,Alphabet,Communication,1,1,1,6.62,95.3,False,False,True,False,True,2,5
AMZN,Amazon,Cons. Discret.,1,2,1,12.8,96.6,False,True,True,False,True,2,6
TSLA,Tesla,Cons. Discret.,0,1,0,-6.91,77.5,False,False,True,False,False,0,1
HD,Home Depot,Cons. Discret.,0,1,1,-3.86,81.7,False,False,True,False,True,0,2
JPM,JPMorgan,Financials,1,2,1,-0.2,93.7,False,True,True,False,True,0,4
V,Visa,Financials,0,1,1,-5.76,83.0,False,False,True,False,True,0,2
MA,Mastercard,Financials,0,1,1,-5.13,85.4,False,False,True,False,True,0,2
BRK-B,Berkshire,Financials,0,0,0,-10.05,86.4,False,False,False,False,False,0,0
LLY,Eli Lilly,Healthcare,0,1,0,-7.79,79.8,False,False,True,False,False,0,1
UNH,UnitedHealth,Healthcare,0,2,2,19.29,78.4,False,True,True,True,True,2,6
JNJ,J&J,Healthcare,0,0,1,-11.66,89.8,False,False,False,True,False,0,1
WMT,Walmart,Cons. Staples,2,2,1,-1.61,96.4,True,True,True,False,True,0,5
PG,P&G,Cons. Staples,0,1,0,-8.38,85.0,False,False,True,False,False,0,1
XOM,ExxonMobil,Energy,1,0,0,-18.08,84.1,True,False,False,False,False,0,1
